Date,Station_Id,Station_Name,Air_Temp_Avg_degF,Air_Temp_Max_degF,Air_Temp_Min_degF,Precip_Accum_in_,Precip_Increment_in,Precip_Increment_Snow_in,Precip_MTD_in,Snow_Depth_in,Snow_Density_pct,Snow_Rain_Ratio
1/9/11,538,Idarado,22,29,10,11,0.3,0.3,0.4,30,24,100
1/10/11,538,Idarado,-1,12,-15,11.3,0,0,0.7,35,21.4,
1/11/11,538,Idarado,7,25,-14,11.3,0,0,0.7,35,21.4,
1/12/11,538,Idarado,20,34,10,11.3,0,0,0.7,33,22.7,
1/13/11,538,Idarado,23,39,12,11.3,0,0,0.7,32,23.4,
1/14/11,538,Idarado,24,36,14,11.3,0.1,0.1,0.7,32,23.4,100
1/15/11,538,Idarado,21,41,11,11.4,0,0,0.8,33,23,
1/16/11,538,Idarado,27,38,13,11.4,0.1,0.1,0.8,32,23.8,100
1/17/11,538,Idarado,33,38,25,11.5,0.2,0.2,0.9,31,24.8,100
1/18/11,538,Idarado,24,34,10,11.7,0.1,0.1,1.1,35,22.6,100
1/19/11,538,Idarado,24,31,16,11.8,0,0,1.2,34,23.5,
1/20/11,538,Idarado,13,32,-3,11.8,0,0,1.2,41,19.5,
1/21/11,538,Idarado,20,33,6,11.8,0.1,0.1,1.2,38,21.1,0
1/22/11,538,Idarado,23,34,4,11.9,0.5,0.6,1.3,37,21.6,120
1/23/11,538,Idarado,11,31,-2,12.4,0,0.1,1.8,42,20.5,
1/24/11,538,Idarado,12,27,-1,12.4,0.1,0.2,1.8,41,21.2,200
1/25/11,538,Idarado,14,33,0,12.5,0,0.1,1.9,41,21.7,
1/26/11,538,Idarado,14,31,4,12.5,0.1,0.1,1.9,40,22.5,100
1/27/11,538,Idarado,20,40,6,12.6,0.1,0.1,2,38,23.9,100
1/28/11,538,Idarado,24,45,14,12.7,0.1,0.2,2.1,38,24.2,200
1/29/11,538,Idarado,25,43,15,12.8,0,0,2.2,37,25.4,
1/30/11,538,Idarado,28,39,16,12.8,0.1,0.1,2.2,37,25.4,100
1/31/11,538,Idarado,21,30,12,12.9,0.5,0.5,2.3,36,26.4,100
2/1/11,538,Idarado,2,15,-13,13.4,0.1,0.1,2.8,42,23.8,100
2/2/11,538,Idarado,,3,-26,13.5,0,0,0.1,42,24,
2/3/11,538,Idarado,-1,23,-23,13.5,0,0,0.1,42,24,
2/4/11,538,Idarado,16,31,-2,13.5,0,0,0.1,41,24.6,
2/5/11,538,Idarado,22,26,15,13.5,0.7,0.7,0.1,40,25.2,100
2/6/11,538,Idarado,13,19,1,14.2,0,0,0.8,48,22.5,
2/7/11,538,Idarado,23,33,1,14.2,0.2,0.2,0.8,47,23,100
2/8/11,538,Idarado,11,22,-12,14.4,0.3,0.3,1,45,24.4,100
2/9/11,538,Idarado,-2,22,-16,14.7,0,0,1.3,51,22.2,
2/10/11,538,Idarado,6,30,-12,14.7,0,0,1.3,49,23.1,
2/11/11,538,Idarado,15,35,3,14.7,0,0,1.3,48,23.5,
2/12/11,538,Idarado,21,41,6,14.7,0,0.1,1.3,47,24,
2/13/11,538,Idarado,31,51,19,14.7,0,0,1.3,45,25.3,
2/14/11,538,Idarado,35,48,24,14.7,0,0,1.3,43,26.5,
2/15/11,538,Idarado,35,52,21,14.7,0,0,1.3,43,26.5,
2/16/11,538,Idarado,33,36,30,14.7,0,0,1.3,42,27.1,
2/17/11,538,Idarado,28,39,18,14.7,0,0,1.3,42,27.1,
2/18/11,538,Idarado,29,42,18,14.7,0,0,1.3,42,27.1,
2/19/11,538,Idarado,30,36,21,14.7,0.8,0.8,1.3,42,27.1,62
2/20/11,538,Idarado,20,31,13,15.5,0.1,0.1,2.1,50,23.8,0
2/21/11,538,Idarado,14,35,-1,15.6,0.2,0.2,2.2,50,23.8,0
2/22/11,538,Idarado,22,39,5,15.8,0.1,0.1,2.4,48,24.8,100
2/23/11,538,Idarado,25,39,13,15.9,0,0,2.5,47,25.5,
2/24/11,538,Idarado,25,36,15,15.9,0,0,2.5,46,26.1,
2/25/11,538,Idarado,24,26,22,15.9,0.1,0.3,2.5,46,26.1,300
2/26/11,538,Idarado,25,37,18,16,0.1,0.2,2.6,50,24.6,200
2/27/11,538,Idarado,22,33,11,16.1,0.1,0.4,2.7,50,25,400
2/28/11,538,Idarado,24,46,7,16.2,0.1,0.1,2.8,51,25.3,0
3/1/11,538,Idarado,31,50,15,16.3,0.2,0.2,2.9,49,26.3,0
3/2/11,538,Idarado,33,47,24,16.5,0,0,0.2,47,27.4,
3/3/11,538,Idarado,34,45,25,16.5,0,0.1,0.2,46,28,
3/4/11,538,Idarado,20,28,4,16.5,0.2,0.4,0.2,46,28.3,200
3/5/11,538,Idarado,23,40,4,16.7,0.2,0.2,0.4,51,26.3,100
3/6/11,538,Idarado,27,36,18,16.9,0,0,0.6,49,27.8,
3/7/11,538,Idarado,29,38,22,16.9,0.4,0.4,0.6,57,23.9,25
3/8/11,538,Idarado,21,30,7,17.3,0.1,0.1,1,53,25.8,100
3/9/11,538,Idarado,22,40,6,17.4,0.1,0.1,1.1,56,24.6,0
3/10/11,538,Idarado,29,49,13,17.5,0.1,0.1,1.2,53,26,0
3/11/11,538,Idarado,33,53,20,17.6,0,0,1.3,50,27.6,
3/12/11,538,Idarado,,,,17.6,0,0,1.3,48,28.8,
3/13/11,538,Idarado,31,43,21,17.6,0,0,1.3,47,29.4,
3/14/11,538,Idarado,35,52,20,17.6,0,0,1.3,46,30,
3/15/11,538,Idarado,35,50,22,17.6,0,0,1.3,46,29.6,
3/16/11,538,Idarado,40,56,26,17.6,0.1,0.1,1.3,44,30.9,0
3/17/11,538,Idarado,37,47,27,17.7,0,0,1.4,44,30.9,
3/18/11,538,Idarado,35,46,24,17.7,0.1,0.1,1.4,44,30.9,0
3/19/11,538,Idarado,40,48,34,17.8,0,0,1.5,43,31.4,
3/20/11,538,Idarado,37,43,30,17.8,0,0,1.5,42,32.1,
3/21/11,538,Idarado,37,44,26,17.8,0.3,0.3,1.5,42,32.1,67
3/22/11,538,Idarado,24,34,16,18.1,0.1,0.1,1.8,45,30.4,100
3/23/11,538,Idarado,26,45,8,18.2,0.1,0.1,1.9,46,30,100
3/24/11,538,Idarado,30,36,26,18.3,0.2,0.2,2,43,32.3,50
3/25/11,538,Idarado,29,35,22,18.5,0,0,2.2,46,30.4,
3/26/11,538,Idarado,26,43,6,18.5,0.2,0.2,2.2,45,31.1,50
3/27/11,538,Idarado,33,42,25,18.7,0.1,0.1,2.4,46,30.7,100
3/28/11,538,Idarado,34,41,18,18.8,0.1,0.1,2.5,44,32.3,100
3/29/11,538,Idarado,26,42,7,18.9,0.1,0.2,2.6,46,31.1,200
3/30/11,538,Idarado,33,45,25,19,0.1,0.1,2.7,45,32.2,0
3/31/11,538,Idarado,36,51,26,19.1,0,0,2.8,44,33,
4/1/11,538,Idarado,38,55,26,19.1,0,0,2.8,43,33.7,
4/2/11,538,Idarado,45,59,30,19.1,0.1,0.1,0,42,34,0
4/3/11,538,Idarado,32,45,16,19.2,0.2,0.3,0.1,40,33.8,150
4/4/11,538,Idarado,26,42,12,19.4,0.2,0.2,0.3,45,30.7,50
4/5/11,538,Idarado,40,56,21,19.6,0.1,0.1,0.5,42,33.1,0
4/6/11,538,Idarado,36,47,28,19.7,0.2,0.2,0.6,40,34.2,50
4/7/11,538,Idarado,34,44,28,19.9,0.4,0.4,0.8,45,30.7,75
4/8/11,538,Idarado,35,43,30,20.3,0.3,0.4,1.2,42,33.6,133
4/9/11,538,Idarado,30,37,17,20.6,0.4,0.4,1.5,43,33.7,100
4/10/11,538,Idarado,21,32,11,21,0.2,0.2,1.9,49,30.4,100
4/11/11,538,Idarado,30,50,8,21.2,0.1,0.1,2.1,49,30.8,0
4/12/11,538,Idarado,38,50,27,21.3,0,0,2.2,44,34.1,
4/13/11,538,Idarado,37,49,25,21.3,0.1,0.1,2.2,43,34.9,100
4/14/11,538,Idarado,27,31,22,21.4,0.4,0.4,2.3,42,36,50
4/15/11,538,Idarado,27,44,9,21.8,0,0,2.7,48,31.9,
4/16/11,538,Idarado,37,53,20,21.8,0.1,0.1,2.7,42,36.4,0
4/17/11,538,Idarado,44,55,30,21.9,0,0,2.8,40,37.8,
4/18/11,538,Idarado,41,55,32,21.9,0.1,0.1,2.8,38,38.4,0
4/19/11,538,Idarado,36,46,30,22,0.4,0.4,2.9,39,36.9,50
4/20/11,538,Idarado,42,53,30,22.4,0.1,0.1,3.3,38,38.4,0
4/21/11,538,Idarado,42,53,32,22.5,0,0,3.4,36,40,
4/22/11,538,Idarado,35,44,30,22.5,0,0,3.4,35,40.6,
4/23/11,538,Idarado,36,44,31,22.5,0.2,0.2,3.4,33,41.8,100
4/24/11,538,Idarado,34,42,28,22.7,0.6,0.6,3.6,38,36.8,83
4/25/11,538,Idarado,32,43,27,23.3,0.7,0.8,4.2,38,38.2,114
4/26/11,538,Idarado,25,40,19,24,1,1,4.9,44,34.8,90
4/27/11,538,Idarado,25,39,15,25,0.2,0.2,5.9,52,31.2,50
4/28/11,538,Idarado,36,51,14,25.2,0.1,0.1,6.1,46,35.4,0
4/29/11,538,Idarado,38,51,20,25.3,0,0,6.2,41,39.5,
4/30/11,538,Idarado,23,33,11,25.3,0,0,6.2,40,39.8,
5/1/11,538,Idarado,22,27,18,25.3,0.6,0.6,6.2,39,40.8,100
5/2/11,538,Idarado,24,41,7,25.9,0.1,0.1,0.6,49,33.7,100
5/3/11,538,Idarado,36,54,13,26,0.1,0.1,0.7,45,36.9,0
5/4/11,538,Idarado,39,53,26,26.1,0,0,0.8,40,41.5,
5/5/11,538,Idarado,39,58,22,26.1,0,0,0.8,39,42.1,
5/6/11,538,Idarado,44,62,29,26.1,0,0,0.8,37,43,
5/7/11,538,Idarado,46,62,32,26.1,0,0,0.8,35,43.4,
5/8/11,538,Idarado,47,59,31,26.1,0,0,0.8,33,44.2,
5/9/11,538,Idarado,35,46,26,26.1,0.3,0.3,0.8,31,43.9,33
5/10/11,538,Idarado,33,47,21,26.4,0.1,0.1,1.1,36,38.1,100
5/11/11,538,Idarado,31,37,29,26.5,1.2,1.2,1.2,34,40.6,100
5/12/11,538,Idarado,35,47,28,27.7,0.3,0.3,2.4,47,31.9,33
5/13/11,538,Idarado,42,60,26,28,0.1,0.1,2.7,41,36.8,0
5/14/11,538,Idarado,43,58,32,28.1,0,0,2.8,36,41.4,
5/15/11,538,Idarado,47,59,35,28.1,0,0,2.8,33,43.6,
5/16/11,538,Idarado,47,58,36,28.1,0,0,2.8,31,43.9,
5/17/11,538,Idarado,39,47,33,28.1,0,0,2.8,27,45.2,
5/18/11,538,Idarado,34,42,27,28.1,0.4,0.4,2.8,26,44.6,75
5/19/11,538,Idarado,31,42,26,28.5,0.6,0.6,3.2,33,36.1,83
5/20/11,538,Idarado,34,44,27,29.1,0.4,0.4,3.8,34,36.5,100
5/21/11,538,Idarado,38,51,30,29.5,0.2,0.2,4.2,36,35.6,0
5/22/11,538,Idarado,44,59,32,29.7,0,0,4.4,31,41,
5/23/11,538,Idarado,43,54,32,29.7,0,0,4.4,28,44.3,
5/24/11,538,Idarado,36,47,31,29.7,0.4,0.4,4.4,27,43.7,0
5/25/11,538,Idarado,42,57,32,30.1,0.1,0.1,4.8,30,39.3,0
5/26/11,538,Idarado,49,59,33,30.2,0,0,4.9,25,44.4,
5/27/11,538,Idarado,49,61,34,30.2,0,0,4.9,21,43.8,
5/28/11,538,Idarado,52,62,40,30.2,0,0,4.9,18,42.2,
5/29/11,538,Idarado,51,60,41,30.2,0,0,4.9,15,40.7,
5/30/11,538,Idarado,38,46,29,30.2,0,0,4.9,11,41.8,
5/31/11,538,Idarado,46,62,27,30.2,0.1,0.1,4.9,10,45,0
6/1/11,538,Idarado,55,65,40,30.3,0,0,5,6,50,
6/2/11,538,Idarado,52,63,36,30.3,0,0,0,3,56.7,
11/6/11,538,Idarado,23,34,16,4.7,0.1,0.1,1.6,14,8.6,0
11/7/11,538,Idarado,25,35,20,4.8,0,0.1,1.7,11,10.9,
11/8/11,538,Idarado,21,33,8,4.8,0,0,1.7,11,11.8,
11/9/11,538,Idarado,16,35,5,4.8,0,0.1,1.7,11,11.8,
11/10/11,538,Idarado,21,40,11,4.8,0.1,0.1,1.7,10,14,100
11/11/11,538,Idarado,29,49,16,4.9,0,0,1.8,10,15,
11/12/11,538,Idarado,35,40,27,4.9,0.1,0.1,1.8,9,16.7,0
11/13/11,538,Idarado,32,37,20,5,0.2,0.2,1.9,8,18.8,50
11/14/11,538,Idarado,24,38,13,5.2,0,0.1,2.1,11,14.5,
11/15/11,538,Idarado,29,40,17,5.2,0,0,2.1,10,17,
11/16/11,538,Idarado,22,35,12,5.2,0,0,2.1,10,17,
11/17/11,538,Idarado,27,45,14,5.2,0,0,2.1,10,17,
11/18/11,538,Idarado,34,45,26,5.2,0,0,2.1,10,17,
11/19/11,538,Idarado,33,38,29,5.2,0.1,0.1,2.1,10,16,0
11/20/11,538,Idarado,33,39,29,5.3,0,0,2.2,9,17.8,
11/21/11,538,Idarado,31,39,27,5.3,0.1,0.2,2.2,9,17.8,200
11/22/11,538,Idarado,25,38,17,5.4,0,0.1,2.3,13,13.8,
11/23/11,538,Idarado,29,48,17,5.4,0.1,0.1,2.3,10,19,0
11/24/11,538,Idarado,34,49,22,5.5,0.1,0.1,2.4,11,17.3,0
11/25/11,538,Idarado,30,36,22,5.6,0,0.2,2.5,11,17.3,
11/26/11,538,Idarado,16,32,4,5.6,0,0.1,2.5,13,16.2,
11/27/11,538,Idarado,26,45,12,5.6,0.1,0.1,2.5,13,16.9,0
11/28/11,538,Idarado,31,49,21,5.7,0,0,2.6,13,16.9,
11/29/11,538,Idarado,30,45,22,5.7,0,0,2.6,12,18.3,
11/30/11,538,Idarado,33,47,21,5.7,0,0,2.6,12,18.3,
12/1/11,538,Idarado,28,33,21,5.7,0.1,0.1,2.6,12,18.3,0
12/2/11,538,Idarado,26,31,20,5.8,0,0,0.1,11,19.1,
12/3/11,538,Idarado,19,24,11,5.8,0.1,0.1,0.1,12,17.5,100
12/4/11,538,Idarado,13,18,10,5.9,0.3,0.4,0.2,14,15.7,133
12/5/11,538,Idarado,6,17,-8,6.2,0.1,0.2,0.5,16,16.2,200
12/6/11,538,Idarado,6,23,-12,6.3,0,0,0.6,17,16.5,
12/7/11,538,Idarado,20,35,10,6.3,0,0,0.6,16,16.2,
12/8/11,538,Idarado,17,34,6,6.3,0,0.3,0.6,16,16.2,
12/9/11,538,Idarado,16,33,5,6.3,0,0.7,0.6,16,18.1,
12/10/11,538,Idarado,20,36,11,6.3,0,0.4,0.6,16,22.5,
12/11/11,538,Idarado,22,38,13,6.3,0,0.1,0.6,15,26.7,
12/12/11,538,Idarado,28,35,17,6.3,0.4,0.4,0.6,15,27.3,75
12/13/11,538,Idarado,28,35,26,6.7,0.3,0.3,1,19,23.2,100
12/14/11,538,Idarado,20,29,4,7,0.1,0.1,1.3,22,21.4,100
12/15/11,538,Idarado,12,28,2,7.1,0,0,1.4,25,19.2,
12/16/11,538,Idarado,14,31,2,7.1,0,0,1.4,23,20.9,
12/17/11,538,Idarado,23,36,14,7.1,0.1,0.1,1.4,22,21.8,100
12/18/11,538,Idarado,28,44,23,7.2,0,0,1.5,21,23.3,
12/19/11,538,Idarado,26,37,20,7.2,0,0,1.5,20,24.5,
12/20/11,538,Idarado,18,33,8,7.2,0,0,1.5,20,24.5,
12/21/11,538,Idarado,16,31,5,7.2,0.1,0.1,1.5,20,24.5,100
12/22/11,538,Idarado,11,21,1,7.3,0.1,0.1,1.6,21,23.8,100
12/23/11,538,Idarado,6,24,-5,7.4,0,0,1.7,23,22.2,
12/24/11,538,Idarado,13,30,4,7.4,0,0,1.7,23,22.2,
12/25/11,538,Idarado,20,36,10,7.4,0.1,0.1,1.7,22,23.2,0
12/26/11,538,Idarado,21,37,14,7.5,0,0,1.8,21,24.3,
12/27/11,538,Idarado,22,41,12,7.5,0,0,1.8,21,24.3,
12/28/11,538,Idarado,26,44,10,7.5,0,0,1.8,21,24.3,
12/29/11,538,Idarado,34,43,21,7.5,0,0,1.8,20,25.5,
12/30/11,538,Idarado,32,47,24,7.5,0,0,1.8,20,25.5,
12/31/11,538,Idarado,26,37,11,7.5,0,0,1.8,20,25.5,
1/1/12,538,Idarado,23,42,12,7.5,0,0,1.8,20,25.5,
1/2/12,538,Idarado,28,45,19,7.5,0,0,0,20,25.5,
1/3/12,538,Idarado,28,46,18,7.5,0,0,0,20,25.5,
1/4/12,538,Idarado,24,47,13,7.5,0,0,0,20,25.5,
1/5/12,538,Idarado,29,46,21,7.5,0,0,0,20,25.5,
1/6/12,538,Idarado,27,41,19,7.5,0,0,0,20,25.5,
1/7/12,538,Idarado,27,37,19,7.5,0,0,0,20,25.5,
1/8/12,538,Idarado,16,29,5,7.5,0,0,0,23,22.2,
1/9/12,538,Idarado,19,35,6,7.5,0,0,0,22,23.2,
1/10/12,538,Idarado,24,40,18,7.5,0,0,0,22,23.2,
1/11/12,538,Idarado,17,29,-3,7.5,0,0.1,0,21,24.3,
1/12/12,538,Idarado,8,30,-5,7.5,0,0.1,0,22,23.6,
1/13/12,538,Idarado,14,33,0,7.5,0.1,0.1,0,22,24.1,100
1/14/12,538,Idarado,23,42,9,7.6,0.1,0.1,0.1,22,24.5,0
1/15/12,538,Idarado,30,41,24,7.7,0.1,0.1,0.2,21,25.7,0
1/16/12,538,Idarado,23,33,10,7.8,0.4,0.4,0.3,21,25.7,100
1/17/12,538,Idarado,15,25,7,8.2,0,0,0.7,29,20,
1/18/12,538,Idarado,30,36,18,8.2,0.1,0.1,0.7,27,21.5,100
1/19/12,538,Idarado,37,49,29,8.3,0,0,0.8,25,23.6,
1/20/12,538,Idarado,31,41,21,8.3,0,0,0.8,24,24.6,
1/21/12,538,Idarado,29,36,23,8.3,0.7,0.7,0.8,24,24.2,86
1/22/12,538,Idarado,18,30,8,9,0.4,0.4,1.5,33,19.4,75
1/23/12,538,Idarado,23,36,9,9.4,0.2,0.2,1.9,36,18.6,0
1/24/12,538,Idarado,21,26,11,9.6,0,0,2.1,34,19.7,
1/25/12,538,Idarado,20,40,6,9.6,0,0,2.1,32,20.9,
1/26/12,538,Idarado,25,41,13,9.6,0.2,0.2,2.1,32,20.9,50
1/27/12,538,Idarado,19,29,0,9.8,0.3,0.5,2.3,32,21.2,167
1/28/12,538,Idarado,12,31,-1,10.1,0.1,0.1,2.6,37,19.7,0
1/29/12,538,Idarado,21,40,9,10.2,0,0,2.7,35,20.6,
1/30/12,538,Idarado,25,44,15,10.2,0,0,2.7,34,21.2,
1/31/12,538,Idarado,23,37,13,10.2,0,0,2.7,33,21.5,
2/1/12,538,Idarado,24,42,10,10.2,0.1,0.1,2.7,33,21.5,100
2/2/12,538,Idarado,23,30,17,10.3,0.2,0.2,0.1,32,22.5,100
2/3/12,538,Idarado,20,30,11,10.5,0,0,0.3,36,20.6,
2/4/12,538,Idarado,17,33,9,10.5,0,0,0.3,36,20.6,
2/5/12,538,Idarado,18,31,7,10.5,0,0,0.3,35,21.1,
2/6/12,538,Idarado,19,29,5,10.5,0.2,0.3,0.3,34,21.5,150
2/7/12,538,Idarado,15,36,0,10.7,0.1,0.1,0.5,37,20.5,0
2/8/12,538,Idarado,28,38,13,10.8,0.5,0.5,0.6,37,20.5,80
2/9/12,538,Idarado,22,33,7,11.3,0.1,0.1,1.1,42,19,0
2/10/12,538,Idarado,20,40,4,11.4,0,0,1.2,43,18.6,
2/11/12,538,Idarado,26,42,11,11.4,0.1,0.1,1.2,41,19.5,0
2/12/12,538,Idarado,26,32,22,11.5,0.5,0.5,1.3,39,20.5,60
2/13/12,538,Idarado,25,34,20,12,0,0,1.8,41,20.2,
2/14/12,538,Idarado,20,35,10,12,0,0,1.8,41,20.2,
2/15/12,538,Idarado,18,35,5,12,0,0,1.8,41,20,
2/16/12,538,Idarado,19,35,9,12,0,0,1.8,41,20,
2/17/12,538,Idarado,17,37,6,12,0,0,1.8,40,20.2,
2/18/12,538,Idarado,18,40,2,12,0,0,1.8,39,20.8,
2/19/12,538,Idarado,22,30,11,12,0.1,0.2,1.8,38,21.3,200
2/20/12,538,Idarado,13,26,4,12.1,0.1,0.1,1.9,41,20.2,100
2/21/12,538,Idarado,22,37,13,12.2,0.2,0.2,2,40,21,50
2/22/12,538,Idarado,30,43,17,12.4,0.1,0.1,2.2,40,21.2,0
2/23/12,538,Idarado,19,35,-3,12.5,0.2,0.3,2.3,39,21.8,150
2/24/12,538,Idarado,17,39,-5,12.7,0.1,0.1,2.5,43,20.5,0
2/25/12,538,Idarado,29,46,14,12.8,0,0,2.6,41,21.5,
2/26/12,538,Idarado,18,35,5,12.8,0,0,2.6,40,22,
2/27/12,538,Idarado,30,40,18,12.8,0.5,0.5,2.6,39,22.3,100
2/28/12,538,Idarado,23,30,14,13.3,0.4,0.4,3.1,43,21.4,100
2/29/12,538,Idarado,23,37,5,13.7,0.1,0.1,3.5,48,20,0
3/1/12,538,Idarado,20,27,8,13.8,0,0.1,3.6,46,20.9,
3/2/12,538,Idarado,11,17,0,13.8,0.5,0.5,0,47,20.6,80
3/3/12,538,Idarado,12,32,-7,14.3,0.1,0.1,0.5,50,20.2,0
3/4/12,538,Idarado,24,47,8,14.4,0,0.1,0.6,48,21,
3/5/12,538,Idarado,30,50,16,14.4,0,0,0.6,46,22.2,
3/6/12,538,Idarado,35,48,18,14.4,0,0,0.6,44,23.2,
3/7/12,538,Idarado,28,36,18,14.4,0,0,0.6,42,24.3,
3/8/12,538,Idarado,24,38,15,14.4,0,0,0.6,42,24.3,
3/9/12,538,Idarado,26,45,10,14.4,0,0.1,0.6,42,24.3,
3/10/12,538,Idarado,30,47,18,14.4,0,0,0.6,41,25.1,
3/11/12,538,Idarado,30,45,17,14.4,0,0,0.6,41,25.1,
3/12/12,538,Idarado,31,49,18,14.4,0,0,0.6,40,25.8,
3/13/12,538,Idarado,36,52,24,14.4,0,0,0.6,39,25.9,
3/14/12,538,Idarado,34,52,21,14.4,0,0,0.6,38,25.3,
3/15/12,538,Idarado,35,55,22,14.4,0.1,0.1,0.6,37,25.7,0
3/16/12,538,Idarado,37,54,24,14.5,0,0,0.7,36,26.1,
3/17/12,538,Idarado,37,49,27,14.5,0,0.4,0.7,35,26.9,
3/18/12,538,Idarado,27,36,16,14.5,0.9,0.9,0.7,33,29.7,100
3/19/12,538,Idarado,17,27,11,15.4,0.2,0.2,1.6,45,23.8,100
3/20/12,538,Idarado,19,32,11,15.6,0.2,0.2,1.8,43,25.3,0
3/21/12,538,Idarado,26,42,12,15.8,0,0,2,42,26,
3/22/12,538,Idarado,33,54,17,15.8,0,0,2,40,27.2,
3/23/12,538,Idarado,39,58,26,15.8,0,0,2,38,27.6,
3/24/12,538,Idarado,40,57,26,15.8,0,0,2,36,28.9,
