Date,Station_Id,Station_Name,Air_Temp_Avg_degF,Air_Temp_Max_degF,Air_Temp_Min_degF,Precip_Accum_in_,Precip_Increment_in,Precip_Increment_Snow_in,Precip_MTD_in,Snow_Depth_in,Snow_Density_pct,Snow_Rain_Ratio,percip_prior_2days,percip_prior_4days,percip_prior_7days,percip_prior_14days,temp_min_prior_2days,temp_min_prior_4days,temp_min_prior_7days,temp_min_prior_14days,temp_max_prior_2days,temp_max_prior_4days,temp_max_prior_7days,temp_max_prior_14days,snow_density_avg_prior_2days,snow_density_avg_prior_4days,snow_density_avg_prior_7days,snow_density_avg_prior_14days
2011-01-01,538,Idarado,-6.0,12.0,-20.0,10.6,0.0,0.0,4.9,36,18.9,,21.2,40.30000000000001,67.89999999999999,124.89999999999999,-20.0,-20.0,-20.0,-20.0,12.0,26.0,37.0,40.0,18.649999999999995,19.05000000000001,18.85714285714286,17.24285714285714
2011-01-02,538,Idarado,10.0,28.0,-8.0,10.6,0.1,0.1,0.0,35,19.4,100.0,21.2,41.70000000000001,69.29999999999998,128.4,-20.0,-20.0,-20.0,-20.0,28.0,28.0,32.0,39.0,19.149999999999995,18.80000000000001,19.071428571428577,17.499999999999996
2011-01-03,538,Idarado,21.0,34.0,9.0,10.7,0.2,0.2,0.1,33,20.9,100.0,21.299999999999997,42.500000000000014,70.79999999999998,131.7,-8.0,-20.0,-20.0,-20.0,34.0,34.0,34.0,39.0,20.149999999999995,19.400000000000013,19.400000000000006,17.907142857142855
2011-01-04,538,Idarado,10.0,24.0,-1.0,10.9,0.0,0.0,0.3,33,21.5,,21.599999999999998,42.80000000000001,72.49999999999999,134.89999999999998,-1.0,-20.0,-20.0,-20.0,34.0,34.0,34.0,39.0,21.199999999999996,20.17500000000001,19.714285714285722,18.307142857142853
2011-01-05,538,Idarado,12.0,33.0,-1.0,10.9,0.0,0.0,0.3,33,21.5,,21.799999999999997,43.10000000000001,74.19999999999999,137.79999999999998,-1.0,-8.0,-20.0,-20.0,33.0,34.0,34.0,38.0,21.499999999999996,20.82500000000001,19.871428571428577,18.757142857142856
2011-01-06,538,Idarado,19.0,37.0,8.0,10.9,0.0,0.0,0.3,32,22.2,,21.799999999999997,43.400000000000006,75.19999999999999,140.29999999999998,-1.0,-1.0,-20.0,-20.0,37.0,37.0,37.0,37.0,21.849999999999994,21.52500000000001,20.400000000000006,19.228571428571428
2011-01-07,538,Idarado,22.0,39.0,14.0,10.9,0.0,0.0,0.3,32,22.2,,21.799999999999997,43.6,75.5,142.0,8.0,-1.0,-20.0,-20.0,39.0,39.0,39.0,39.0,22.199999999999996,21.850000000000012,20.942857142857147,19.728571428571428
2011-01-08,538,Idarado,23.0,38.0,13.0,10.9,0.1,0.1,0.3,31,22.9,100.0,21.799999999999997,43.6,75.80000000000001,143.70000000000002,13.0,-1.0,-8.0,-20.0,39.0,39.0,39.0,39.0,22.549999999999997,22.20000000000001,21.514285714285716,20.185714285714283
2011-01-09,538,Idarado,22.0,29.0,10.0,11.0,0.3,0.3,0.4,30,24.0,100.0,21.9,43.7,76.20000000000002,145.50000000000003,10.0,8.0,-1.0,-20.0,38.0,39.0,39.0,39.0,23.449999999999996,22.82500000000001,22.171428571428574,20.62142857142857
2011-01-10,538,Idarado,-1.0,12.0,-15.0,11.3,0.0,0.0,0.7,35,21.4,,22.299999999999997,44.10000000000001,76.80000000000001,147.60000000000005,-15.0,-15.0,-15.0,-20.0,29.0,39.0,39.0,39.0,22.699999999999996,22.625000000000007,22.242857142857144,20.821428571428566
2011-01-11,538,Idarado,7.0,25.0,-14.0,11.3,0.0,0.0,0.7,35,21.4,,22.599999999999998,44.500000000000014,77.2,149.70000000000007,-15.0,-15.0,-15.0,-20.0,25.0,38.0,39.0,39.0,21.399999999999995,22.425000000000004,22.22857142857143,20.971428571428564
2011-01-12,538,Idarado,20.0,34.0,10.0,11.3,0.0,0.0,0.7,33,22.7,,22.599999999999998,44.90000000000002,77.6,151.8000000000001,-14.0,-15.0,-15.0,-20.0,34.0,34.0,39.0,39.0,22.049999999999997,22.375000000000004,22.400000000000002,21.13571428571428
2011-01-13,538,Idarado,23.0,39.0,12.0,11.3,0.0,0.0,0.7,32,23.4,,22.599999999999998,45.20000000000002,77.99999999999999,153.2000000000001,10.0,-15.0,-15.0,-20.0,39.0,39.0,39.0,39.0,23.049999999999997,22.225,22.571428571428577,21.485714285714277
2011-01-14,538,Idarado,24.0,36.0,14.0,11.3,0.1,0.1,0.7,32,23.4,100.0,22.599999999999998,45.20000000000002,78.39999999999998,153.90000000000012,12.0,-14.0,-15.0,-20.0,39.0,39.0,39.0,39.0,23.4,22.725,22.74285714285715,21.842857142857135
2011-01-15,538,Idarado,21.0,41.0,11.0,11.4,0.0,0.0,0.8,33,23.0,,22.699999999999996,45.30000000000002,78.89999999999998,154.70000000000013,11.0,10.0,-15.0,-15.0,41.0,41.0,41.0,41.0,23.2,23.125,22.757142857142863,22.13571428571428
2011-01-16,538,Idarado,27.0,38.0,13.0,11.4,0.1,0.1,0.8,32,23.8,100.0,22.799999999999997,45.40000000000001,79.29999999999998,155.50000000000014,11.0,11.0,-15.0,-15.0,41.0,41.0,41.0,41.0,23.4,23.4,22.728571428571435,22.449999999999996
2011-01-17,538,Idarado,33.0,38.0,25.0,11.5,0.2,0.2,0.9,31,24.8,100.0,22.9,45.60000000000001,79.49999999999999,156.30000000000015,13.0,11.0,-14.0,-15.0,38.0,41.0,41.0,41.0,24.299999999999997,23.749999999999996,23.214285714285722,22.728571428571428
2011-01-18,538,Idarado,24.0,34.0,10.0,11.7,0.1,0.1,1.1,35,22.6,100.0,23.199999999999996,46.000000000000014,79.89999999999999,157.10000000000014,10.0,10.0,10.0,-15.0,38.0,41.0,41.0,41.0,23.699999999999996,23.549999999999997,23.385714285714293,22.807142857142857
2011-01-19,538,Idarado,24.0,31.0,16.0,11.8,0.0,0.0,1.2,34,23.5,,23.499999999999996,46.40000000000002,80.39999999999999,158.00000000000014,10.0,10.0,10.0,-15.0,34.0,38.0,41.0,41.0,23.049999999999997,23.674999999999997,23.500000000000007,22.95
2011-01-20,538,Idarado,13.0,32.0,-3.0,11.8,0.0,0.0,1.2,41,19.5,,23.599999999999998,46.800000000000026,80.89999999999999,158.90000000000015,-3.0,-3.0,-3.0,-15.0,32.0,38.0,41.0,41.0,21.499999999999996,22.599999999999998,22.94285714285715,22.75714285714286
2011-01-21,538,Idarado,20.0,33.0,6.0,11.8,0.1,0.1,1.2,38,21.1,0.0,23.599999999999998,47.10000000000002,81.39999999999999,159.80000000000015,-3.0,-3.0,-3.0,-15.0,33.0,34.0,41.0,41.0,20.299999999999997,21.674999999999997,22.61428571428572,22.678571428571434
2011-01-22,538,Idarado,23.0,34.0,4.0,11.9,0.5,0.6,1.3,37,21.6,120.0,23.699999999999996,47.30000000000002,81.89999999999999,160.80000000000015,4.0,-3.0,-3.0,-15.0,34.0,34.0,38.0,41.0,21.349999999999998,21.424999999999997,22.414285714285718,22.585714285714293
2011-01-23,538,Idarado,11.0,31.0,-2.0,12.4,0.0,0.1,1.8,42,20.5,,24.299999999999997,47.90000000000001,82.89999999999999,162.20000000000016,-2.0,-3.0,-3.0,-15.0,34.0,34.0,38.0,41.0,21.049999999999997,20.674999999999997,21.942857142857147,22.335714285714293
2011-01-24,538,Idarado,12.0,27.0,-1.0,12.4,0.1,0.2,1.8,41,21.2,200.0,24.799999999999997,48.50000000000001,83.8,163.30000000000015,-2.0,-2.0,-3.0,-14.0,31.0,34.0,34.0,41.0,20.849999999999994,21.099999999999998,21.428571428571427,22.32142857142858
2011-01-25,538,Idarado,14.0,33.0,0.0,12.5,0.0,0.1,1.9,41,21.7,,24.9,49.2,84.6,164.50000000000014,-1.0,-2.0,-3.0,-3.0,33.0,34.0,34.0,41.0,21.449999999999996,21.249999999999996,21.3,22.342857142857152
2011-01-26,538,Idarado,14.0,31.0,4.0,12.5,0.1,0.1,1.9,40,22.5,100.0,25.0,49.800000000000004,85.3,165.70000000000013,0.0,-2.0,-3.0,-3.0,33.0,33.0,34.0,41.0,22.099999999999994,21.474999999999994,21.157142857142855,22.32857142857144
2011-01-27,538,Idarado,20.0,40.0,6.0,12.6,0.1,0.1,2.0,38,23.9,100.0,25.1,50.00000000000001,86.1,167.0000000000001,4.0,-1.0,-2.0,-3.0,40.0,40.0,40.0,41.0,23.199999999999996,22.324999999999996,21.785714285714285,22.364285714285725
2011-01-28,538,Idarado,24.0,45.0,14.0,12.7,0.1,0.2,2.1,38,24.2,200.0,25.3,50.30000000000001,87.0,168.4000000000001,6.0,0.0,-2.0,-3.0,45.0,45.0,45.0,45.0,24.049999999999997,23.074999999999996,22.228571428571428,22.42142857142858
2011-01-29,538,Idarado,25.0,43.0,15.0,12.8,0.0,0.0,2.2,37,25.4,,25.5,50.60000000000001,87.89999999999999,169.8000000000001,14.0,4.0,-2.0,-3.0,45.0,45.0,45.0,45.0,24.799999999999997,23.999999999999993,22.771428571428572,22.592857142857152
2011-01-30,538,Idarado,28.0,39.0,16.0,12.8,0.1,0.1,2.2,37,25.4,100.0,25.6,50.900000000000006,88.29999999999998,171.2000000000001,15.0,6.0,-1.0,-3.0,43.0,45.0,45.0,45.0,25.4,24.724999999999994,23.47142857142857,22.707142857142863
2011-01-31,538,Idarado,21.0,30.0,12.0,12.9,0.5,0.5,2.3,36,26.4,100.0,25.700000000000003,51.2,88.79999999999998,172.6000000000001,12.0,12.0,0.0,-3.0,39.0,45.0,45.0,45.0,25.9,25.349999999999994,24.21428571428572,22.821428571428577
2011-02-01,538,Idarado,2.0,15.0,-13.0,13.4,0.1,0.1,2.8,42,23.8,100.0,26.300000000000004,51.9,89.69999999999999,174.30000000000013,-13.0,-13.0,-13.0,-13.0,30.0,43.0,45.0,45.0,25.1,25.249999999999993,24.514285714285723,22.907142857142862
2011-02-02,538,Idarado,,3.0,-26.0,13.5,0.0,0.0,0.1,42,24.0,,26.900000000000006,52.599999999999994,90.69999999999999,176.0000000000001,-26.0,-26.0,-26.0,-26.0,15.0,39.0,45.0,45.0,23.900000000000002,24.89999999999999,24.728571428571435,22.942857142857147
2011-02-03,538,Idarado,-1.0,23.0,-23.0,13.5,0.0,0.0,0.1,42,24.0,,27.000000000000007,53.3,91.6,177.7000000000001,-26.0,-26.0,-26.0,-26.0,23.0,30.0,45.0,45.0,24.0,24.54999999999999,24.74285714285715,23.264285714285716
2011-02-04,538,Idarado,16.0,31.0,-2.0,13.5,0.0,0.0,0.1,41,24.6,,27.000000000000007,53.9,92.39999999999999,179.4000000000001,-23.0,-26.0,-26.0,-26.0,31.0,31.0,43.0,45.0,24.3,24.099999999999987,24.800000000000008,23.514285714285716
2011-02-05,538,Idarado,22.0,26.0,15.0,13.5,0.7,0.7,0.1,40,25.2,100.0,27.000000000000007,54.0,93.1,181.00000000000009,-2.0,-26.0,-26.0,-26.0,31.0,31.0,39.0,45.0,24.9,24.44999999999999,24.771428571428576,23.771428571428572
2011-02-06,538,Idarado,13.0,19.0,1.0,14.2,0.0,0.0,0.8,48,22.5,,27.700000000000006,54.7,94.5,182.80000000000007,1.0,-23.0,-26.0,-26.0,26.0,31.0,31.0,45.0,23.849999999999998,24.07499999999999,24.35714285714286,23.914285714285715
2011-02-07,538,Idarado,23.0,33.0,1.0,14.2,0.2,0.2,0.8,47,23.0,100.0,28.400000000000006,55.400000000000006,95.8,184.60000000000005,1.0,-2.0,-26.0,-26.0,33.0,33.0,33.0,45.0,22.75,23.82499999999999,23.871428571428574,24.042857142857144
2011-02-08,538,Idarado,11.0,22.0,-12.0,14.4,0.3,0.3,1.0,45,24.4,100.0,28.60000000000001,56.300000000000004,96.8,186.50000000000006,-12.0,-12.0,-26.0,-26.0,33.0,33.0,33.0,45.0,23.7,23.77499999999999,23.95714285714286,24.235714285714288
2011-02-09,538,Idarado,-2.0,22.0,-16.0,14.7,0.0,0.0,1.3,51,22.2,,29.10000000000001,57.5,98.0,188.70000000000005,-16.0,-16.0,-23.0,-26.0,22.0,33.0,33.0,45.0,23.299999999999997,23.02499999999999,23.7,24.214285714285715
2011-02-10,538,Idarado,6.0,30.0,-12.0,14.7,0.0,0.0,1.3,49,23.1,,29.400000000000006,58.0,99.2,190.80000000000004,-16.0,-16.0,-16.0,-26.0,30.0,33.0,33.0,45.0,22.65,23.17499999999999,23.571428571428573,24.157142857142862
2011-02-11,538,Idarado,15.0,35.0,3.0,14.7,0.0,0.0,1.3,48,23.5,,29.400000000000006,58.5,100.4,192.80000000000004,-12.0,-16.0,-16.0,-26.0,35.0,35.0,35.0,43.0,23.299999999999997,23.29999999999999,23.414285714285715,24.10714285714286
2011-02-12,538,Idarado,21.0,41.0,6.0,14.7,0.0,0.1,1.3,47,24.0,,29.400000000000006,58.8,101.60000000000001,194.70000000000002,3.0,-16.0,-16.0,-26.0,41.0,41.0,41.0,41.0,23.749999999999996,23.19999999999999,23.242857142857144,24.007142857142863
2011-02-13,538,Idarado,31.0,51.0,19.0,14.7,0.0,0.0,1.3,45,25.3,,29.400000000000006,58.8,102.10000000000001,196.6,6.0,-12.0,-16.0,-26.0,51.0,51.0,51.0,51.0,24.65,23.974999999999987,23.642857142857146,24.000000000000007
