Date,Station Id,Station Name,Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Accumulation (in) Start of Day Values,Precipitation Increment (in),Precipitation Increment - Snow-adj (in),Precipitation Month-to-date (in) Start of Day Values,Snow Depth (in) Start of Day Values,Snow Density (pct) Start of Day Values,Snow Rain Ratio (unitless),Wind Direction Average (degree),Wind Speed Average (mph),Wind Speed Maximum (mph)
2010-10-30,538,Idarado,42,53,31,3.2,0.00,0.00,3.20,2,,,,,
2010-10-31,538,Idarado,34,47,26,3.2,0.00,0.00,3.20,2,,,,,
2010-11-01,538,Idarado,32,45,25,3.2,0.00,0.00,3.20,2,,,,,
2010-11-02,538,Idarado,35,52,24,3.2,0.00,0.00,0.00,2,,,,,
2010-11-03,538,Idarado,37,51,30,3.2,0.00,0.00,0.00,2,,,,,
2010-11-04,538,Idarado,37,54,29,3.2,0.00,0.00,0.00,2,,,,,
2010-11-05,538,Idarado,37,55,29,3.2,0.00,0.00,0.00,2,,,,,
2010-11-06,538,Idarado,40,58,30,3.2,0.00,0.00,0.00,2,,,,,
2010-11-07,538,Idarado,38,50,30,3.2,0.00,0.00,0.00,2,,,,,
2010-11-08,538,Idarado,39,49,30,3.2,0.10,0.10,0.00,2,,100.0,,,
2010-11-09,538,Idarado,25,33,11,3.3,0.10,0.10,0.10,2,,100.0,,,
2010-11-10,538,Idarado,22,33,10,3.4,0.10,0.10,0.20,3,,100.0,,,
2010-11-11,538,Idarado,22,28,12,3.5,0.20,0.20,0.30,3,,100.0,,,
2010-11-12,538,Idarado,15,32,3,3.7,0.00,0.00,0.50,4,25.0,,,,
2010-11-13,538,Idarado,17,34,8,3.7,0.00,0.00,0.50,4,25.0,,,,
2010-11-14,538,Idarado,20,33,7,3.7,0.10,0.10,0.50,4,25.0,100.0,,,
2010-11-15,538,Idarado,24,27,18,3.8,0.40,0.40,0.60,3,36.7,100.0,,,
2010-11-16,538,Idarado,26,41,11,4.2,0.20,0.20,1.00,9,16.7,100.0,,,
2010-11-17,538,Idarado,21,36,9,4.4,0.00,0.00,1.20,8,21.2,,,,
2010-11-18,538,Idarado,32,49,18,4.4,0.00,0.00,1.20,7,24.3,,,,
2010-11-19,538,Idarado,33,48,21,4.4,0.10,0.10,1.20,7,24.3,100.0,,,
2010-11-20,538,Idarado,36,45,28,4.5,0.00,0.00,1.30,6,30.0,,,,
2010-11-21,538,Idarado,27,32,18,4.5,0.50,0.60,1.30,6,30.0,120.0,,,
2010-11-22,538,Idarado,15,22,4,5.0,0.00,0.00,1.80,13,18.5,,,,
2010-11-23,538,Idarado,22,33,7,5.0,0.10,0.10,1.80,12,20.0,100.0,,,
2010-11-24,538,Idarado,13,24,-9,5.1,0.10,0.10,1.90,10,25.0,100.0,,,
2010-11-25,538,Idarado,0,22,-14,5.2,0.00,0.20,2.00,13,20.0,,,,
2010-11-26,538,Idarado,19,36,2,5.2,0.00,0.20,2.00,12,23.3,,,,
2010-11-27,538,Idarado,26,42,14,5.2,0.00,0.00,2.00,11,27.3,,,,
2010-11-28,538,Idarado,20,25,15,5.2,0.30,0.30,2.00,11,27.3,33.0,,,
2010-11-29,538,Idarado,13,18,6,5.5,0.00,0.20,2.30,13,23.8,,,,
2010-11-30,538,Idarado,11,26,-6,5.5,0.20,0.20,2.30,14,23.6,0.0,,,
2010-12-01,538,Idarado,27,43,14,5.7,0.00,0.00,2.50,13,25.4,,,,
2010-12-02,538,Idarado,29,45,19,5.7,0.00,0.00,0.00,13,25.4,,,,
2010-12-03,538,Idarado,38,47,28,5.7,0.00,0.00,0.00,12,27.5,,,,
2010-12-04,538,Idarado,36,48,29,5.7,0.00,0.00,0.00,12,26.7,,,,
2010-12-05,538,Idarado,34,45,25,5.7,0.00,0.00,0.00,12,25.8,,,,
2010-12-06,538,Idarado,32,43,25,5.7,0.10,0.10,0.00,11,26.4,0.0,,,
2010-12-07,538,Idarado,24,35,12,5.8,0.10,0.10,0.10,12,23.3,0.0,,,
2010-12-08,538,Idarado,27,44,13,5.9,0.10,0.10,0.20,14,20.0,0.0,,,
2010-12-09,538,Idarado,34,45,28,6.0,0.10,0.10,0.30,13,21.5,0.0,,,
2010-12-10,538,Idarado,32,38,26,6.1,0.10,0.10,0.40,14,20.0,0.0,,,
2010-12-11,538,Idarado,24,32,13,6.2,0.10,0.10,0.50,14,20.0,0.0,,,
2010-12-12,538,Idarado,27,42,12,6.3,0.00,0.00,0.60,17,15.9,,,,
2010-12-13,538,Idarado,31,48,20,6.3,0.10,0.10,0.60,15,17.3,0.0,,,
2010-12-14,538,Idarado,38,49,25,6.4,0.10,0.10,0.70,15,16.7,0.0,,,
2010-12-15,538,Idarado,32,39,25,6.5,0.10,0.10,0.80,14,17.9,100.0,,,
2010-12-16,538,Idarado,26,31,19,6.6,0.10,0.10,0.90,15,17.3,100.0,,,
2010-12-17,538,Idarado,22,33,16,6.7,0.10,0.10,1.00,19,14.2,0.0,,,
2010-12-18,538,Idarado,29,33,23,6.8,0.30,0.30,1.10,17,15.9,100.0,,,
2010-12-19,538,Idarado,33,40,29,7.1,0.30,0.30,1.40,19,15.8,67.0,,,
2010-12-20,538,Idarado,34,38,31,7.4,0.30,0.30,1.70,21,15.2,100.0,,,
2010-12-21,538,Idarado,31,33,29,7.7,0.30,0.30,2.00,22,15.9,100.0,,,
2010-12-22,538,Idarado,34,39,29,8.0,0.40,0.40,2.30,25,15.2,100.0,,,
2010-12-23,538,Idarado,32,38,29,8.4,0.80,0.80,2.70,27,15.6,100.0,,,
2010-12-24,538,Idarado,23,36,16,9.2,0.00,0.10,3.50,33,15.2,,,,
2010-12-25,538,Idarado,24,36,15,9.2,0.00,0.10,3.50,31,16.5,,,,
2010-12-26,538,Idarado,27,37,20,9.2,0.00,0.20,3.50,29,17.9,,,,
2010-12-27,538,Idarado,20,32,12,9.2,0.00,0.00,3.50,29,18.6,,,,
2010-12-28,538,Idarado,16,31,5,9.2,0.00,0.10,3.50,28,19.3,,,,
2010-12-29,538,Idarado,23,26,18,9.2,0.70,0.80,3.50,27,20.4,114.0,,,
2010-12-30,538,Idarado,15,25,2,9.9,0.70,0.70,4.20,34,18.5,71.0,,,
2010-12-31,538,Idarado,-2,5,-12,10.6,0.00,0.00,4.90,37,18.4,,,,
2011-01-01,538,Idarado,-6,12,-20,10.6,0.00,0.00,4.90,36,18.9,,,,
2011-01-02,538,Idarado,10,28,-8,10.6,0.10,0.10,0.00,35,19.4,100.0,,,
2011-01-03,538,Idarado,21,34,9,10.7,0.20,0.20,0.10,33,20.9,100.0,,,
2011-01-04,538,Idarado,10,24,-1,10.9,0.00,0.00,0.30,33,21.5,,,,
2011-01-05,538,Idarado,12,33,-1,10.9,0.00,0.00,0.30,33,21.5,,,,
2011-01-06,538,Idarado,19,37,8,10.9,0.00,0.00,0.30,32,22.2,,,,
2011-01-07,538,Idarado,22,39,14,10.9,0.00,0.00,0.30,32,22.2,,,,
2011-01-08,538,Idarado,23,38,13,10.9,0.10,0.10,0.30,31,22.9,100.0,,,
2011-01-09,538,Idarado,22,29,10,11.0,0.30,0.30,0.40,30,24.0,100.0,,,
2011-01-10,538,Idarado,-1,12,-15,11.3,0.00,0.00,0.70,35,21.4,,,,
2011-01-11,538,Idarado,7,25,-14,11.3,0.00,0.00,0.70,35,21.4,,,,
2011-01-12,538,Idarado,20,34,10,11.3,0.00,0.00,0.70,33,22.7,,,,
2011-01-13,538,Idarado,23,39,12,11.3,0.00,0.00,0.70,32,23.4,,,,
2011-01-14,538,Idarado,24,36,14,11.3,0.10,0.10,0.70,32,23.4,100.0,,,
2011-01-15,538,Idarado,21,41,11,11.4,0.00,0.00,0.80,33,23.0,,,,
2011-01-16,538,Idarado,27,38,13,11.4,0.10,0.10,0.80,32,23.8,100.0,,,
2011-01-17,538,Idarado,33,38,25,11.5,0.20,0.20,0.90,31,24.8,100.0,,,
2011-01-18,538,Idarado,24,34,10,11.7,0.10,0.10,1.10,35,22.6,100.0,,,
2011-01-19,538,Idarado,24,31,16,11.8,0.00,0.00,1.20,34,23.5,,,,
2011-01-20,538,Idarado,13,32,-3,11.8,0.00,0.00,1.20,41,19.5,,,,
2011-01-21,538,Idarado,20,33,6,11.8,0.10,0.10,1.20,38,21.1,0.0,,,
2011-01-22,538,Idarado,23,34,4,11.9,0.50,0.60,1.30,37,21.6,120.0,,,
2011-01-23,538,Idarado,11,31,-2,12.4,0.00,0.10,1.80,42,20.5,,,,
2011-01-24,538,Idarado,12,27,-1,12.4,0.10,0.20,1.80,41,21.2,200.0,,,
2011-01-25,538,Idarado,14,33,0,12.5,0.00,0.10,1.90,41,21.7,,,,
2011-01-26,538,Idarado,14,31,4,12.5,0.10,0.10,1.90,40,22.5,100.0,,,
2011-01-27,538,Idarado,20,40,6,12.6,0.10,0.10,2.00,38,23.9,100.0,,,
2011-01-28,538,Idarado,24,45,14,12.7,0.10,0.20,2.10,38,24.2,200.0,,,
2011-01-29,538,Idarado,25,43,15,12.8,0.00,0.00,2.20,37,25.4,,,,
2011-01-30,538,Idarado,28,39,16,12.8,0.10,0.10,2.20,37,25.4,100.0,,,
2011-01-31,538,Idarado,21,30,12,12.9,0.50,0.50,2.30,36,26.4,100.0,,,
2011-02-01,538,Idarado,2,15,-13,13.4,0.10,0.10,2.80,42,23.8,100.0,,,
2011-02-02,538,Idarado,,3,-26,13.5,0.00,0.00,0.10,42,24.0,,,,
2011-02-03,538,Idarado,-1,23,-23,13.5,0.00,0.00,0.10,42,24.0,,,,
2011-02-04,538,Idarado,16,31,-2,13.5,0.00,0.00,0.10,41,24.6,,,,
2011-02-05,538,Idarado,22,26,15,13.5,0.70,0.70,0.10,40,25.2,100.0,,,
2011-02-06,538,Idarado,13,19,1,14.2,0.00,0.00,0.80,48,22.5,,,,
2011-02-07,538,Idarado,23,33,1,14.2,0.20,0.20,0.80,47,23.0,100.0,,,
2011-02-08,538,Idarado,11,22,-12,14.4,0.30,0.30,1.00,45,24.4,100.0,,,
2011-02-09,538,Idarado,-2,22,-16,14.7,0.00,0.00,1.30,51,22.2,,,,
2011-02-10,538,Idarado,6,30,-12,14.7,0.00,0.00,1.30,49,23.1,,,,
2011-02-11,538,Idarado,15,35,3,14.7,0.00,0.00,1.30,48,23.5,,,,
2011-02-12,538,Idarado,21,41,6,14.7,0.00,0.10,1.30,47,24.0,,,,
2011-02-13,538,Idarado,31,51,19,14.7,0.00,0.00,1.30,45,25.3,,,,
2011-02-14,538,Idarado,35,48,24,14.7,0.00,0.00,1.30,43,26.5,,,,
2011-02-15,538,Idarado,35,52,21,14.7,0.00,0.00,1.30,43,26.5,,,,
2011-02-16,538,Idarado,33,36,30,14.7,0.00,0.00,1.30,42,27.1,,,,
2011-02-17,538,Idarado,28,39,18,14.7,0.00,0.00,1.30,42,27.1,,,,
2011-02-18,538,Idarado,29,42,18,14.7,0.00,0.00,1.30,42,27.1,,,,
2011-02-19,538,Idarado,30,36,21,14.7,0.80,0.80,1.30,42,27.1,62.0,,,
2011-02-20,538,Idarado,20,31,13,15.5,0.10,0.10,2.10,50,23.8,0.0,,,
2011-02-21,538,Idarado,14,35,-1,15.6,0.20,0.20,2.20,50,23.8,0.0,,,
2011-02-22,538,Idarado,22,39,5,15.8,0.10,0.10,2.40,48,24.8,100.0,,,
2011-02-23,538,Idarado,25,39,13,15.9,0.00,0.00,2.50,47,25.5,,,,
2011-02-24,538,Idarado,25,36,15,15.9,0.00,0.00,2.50,46,26.1,,,,
2011-02-25,538,Idarado,24,26,22,15.9,0.10,0.30,2.50,46,26.1,300.0,,,
2011-02-26,538,Idarado,25,37,18,16.0,0.10,0.20,2.60,50,24.6,200.0,,,
2011-02-27,538,Idarado,22,33,11,16.1,0.10,0.40,2.70,50,25.0,400.0,,,
2011-02-28,538,Idarado,24,46,7,16.2,0.10,0.10,2.80,51,25.3,0.0,,,
2011-03-01,538,Idarado,31,50,15,16.3,0.20,0.20,2.90,49,26.3,0.0,,,
2011-03-02,538,Idarado,33,47,24,16.5,0.00,0.00,0.20,47,27.4,,,,
2011-03-03,538,Idarado,34,45,25,16.5,0.00,0.10,0.20,46,28.0,,,,
2011-03-04,538,Idarado,20,28,4,16.5,0.20,0.40,0.20,46,28.3,200.0,,,
2011-03-05,538,Idarado,23,40,4,16.7,0.20,0.20,0.40,51,26.3,100.0,,,
2011-03-06,538,Idarado,27,36,18,16.9,0.00,0.00,0.60,49,27.8,,,,
2011-03-07,538,Idarado,29,38,22,16.9,0.40,0.40,0.60,57,23.9,25.0,,,
2011-03-08,538,Idarado,21,30,7,17.3,0.10,0.10,1.00,53,25.8,100.0,,,
2011-03-09,538,Idarado,22,40,6,17.4,0.10,0.10,1.10,56,24.6,0.0,,,
2011-03-10,538,Idarado,29,49,13,17.5,0.10,0.10,1.20,53,26.0,0.0,,,
2011-03-11,538,Idarado,33,53,20,17.6,0.00,0.00,1.30,50,27.6,,,,
2011-03-12,538,Idarado,,,,17.6,0.00,0.00,1.30,48,28.8,,,,
2011-03-13,538,Idarado,31,43,21,17.6,0.00,0.00,1.30,47,29.4,,,,
2011-03-14,538,Idarado,35,52,20,17.6,0.00,0.00,1.30,46,30.0,,,,
2011-03-15,538,Idarado,35,50,22,17.6,0.00,0.00,1.30,46,29.6,,,,
2011-03-16,538,Idarado,40,56,26,17.6,0.10,0.10,1.30,44,30.9,0.0,,,
2011-03-17,538,Idarado,37,47,27,17.7,0.00,0.00,1.40,44,30.9,,,,
2011-03-18,538,Idarado,35,46,24,17.7,0.10,0.10,1.40,44,30.9,0.0,,,
2011-03-19,538,Idarado,40,48,34,17.8,0.00,0.00,1.50,43,31.4,,,,
2011-03-20,538,Idarado,37,43,30,17.8,0.00,0.00,1.50,42,32.1,,,,
2011-03-21,538,Idarado,37,44,26,17.8,0.30,0.30,1.50,42,32.1,67.0,,,
2011-03-22,538,Idarado,24,34,16,18.1,0.10,0.10,1.80,45,30.4,100.0,,,
2011-03-23,538,Idarado,26,45,8,18.2,0.10,0.10,1.90,46,30.0,100.0,,,
2011-03-24,538,Idarado,30,36,26,18.3,0.20,0.20,2.00,43,32.3,50.0,,,
2011-03-25,538,Idarado,29,35,22,18.5,0.00,0.00,2.20,46,30.4,,,,
2011-03-26,538,Idarado,26,43,6,18.5,0.20,0.20,2.20,45,31.1,50.0,,,
2011-03-27,538,Idarado,33,42,25,18.7,0.10,0.10,2.40,46,30.7,100.0,,,
2011-03-28,538,Idarado,34,41,18,18.8,0.10,0.10,2.50,44,32.3,100.0,,,
2011-03-29,538,Idarado,26,42,7,18.9,0.10,0.20,2.60,46,31.1,200.0,,,
2011-03-30,538,Idarado,33,45,25,19.0,0.10,0.10,2.70,45,32.2,0.0,,,
2011-03-31,538,Idarado,36,51,26,19.1,0.00,0.00,2.80,44,33.0,,,,
2011-04-01,538,Idarado,38,55,26,19.1,0.00,0.00,2.80,43,33.7,,,,
2011-04-02,538,Idarado,45,59,30,19.1,0.10,0.10,0.00,42,34.0,0.0,,,
2011-04-03,538,Idarado,32,45,16,19.2,0.20,0.30,0.10,40,33.8,150.0,,,
2011-04-04,538,Idarado,26,42,12,19.4,0.20,0.20,0.30,45,30.7,50.0,,,
2011-04-05,538,Idarado,40,56,21,19.6,0.10,0.10,0.50,42,33.1,0.0,,,
2011-04-06,538,Idarado,36,47,28,19.7,0.20,0.20,0.60,40,34.2,50.0,,,
2011-04-07,538,Idarado,34,44,28,19.9,0.40,0.40,0.80,45,30.7,75.0,,,
2011-04-08,538,Idarado,35,43,30,20.3,0.30,0.40,1.20,42,33.6,133.0,,,
2011-04-09,538,Idarado,30,37,17,20.6,0.40,0.40,1.50,43,33.7,100.0,,,
2011-04-10,538,Idarado,21,32,11,21.0,0.20,0.20,1.90,49,30.4,100.0,,,
2011-04-11,538,Idarado,30,50,8,21.2,0.10,0.10,2.10,49,30.8,0.0,,,
2011-04-12,538,Idarado,38,50,27,21.3,0.00,0.00,2.20,44,34.1,,,,
2011-04-13,538,Idarado,37,49,25,21.3,0.10,0.10,2.20,43,34.9,100.0,,,
2011-04-14,538,Idarado,27,31,22,21.4,0.40,0.40,2.30,42,36.0,50.0,,,
2011-04-15,538,Idarado,27,44,9,21.8,0.00,0.00,2.70,48,31.9,,,,
2011-04-16,538,Idarado,37,53,20,21.8,0.10,0.10,2.70,42,36.4,0.0,,,
2011-04-17,538,Idarado,44,55,30,21.9,0.00,0.00,2.80,40,37.8,,,,
2011-04-18,538,Idarado,41,55,32,21.9,0.10,0.10,2.80,38,38.4,0.0,,,
2011-04-19,538,Idarado,36,46,30,22.0,0.40,0.40,2.90,39,36.9,50.0,,,
2011-04-20,538,Idarado,42,53,30,22.4,0.10,0.10,3.30,38,38.4,0.0,,,
2011-04-21,538,Idarado,42,53,32,22.5,0.00,0.00,3.40,36,40.0,,,,
2011-04-22,538,Idarado,35,44,30,22.5,0.00,0.00,3.40,35,40.6,,,,
2011-04-23,538,Idarado,36,44,31,22.5,0.20,0.20,3.40,33,41.8,100.0,,,
2011-04-24,538,Idarado,34,42,28,22.7,0.60,0.60,3.60,38,36.8,83.0,,,
2011-04-25,538,Idarado,32,43,27,23.3,0.70,0.80,4.20,38,38.2,114.0,,,
2011-04-26,538,Idarado,25,40,19,24.0,1.00,1.00,4.90,44,34.8,90.0,,,
2011-04-27,538,Idarado,25,39,15,25.0,0.20,0.20,5.90,52,31.2,50.0,,,
2011-04-28,538,Idarado,36,51,14,25.2,0.10,0.10,6.10,46,35.4,0.0,,,
2011-04-29,538,Idarado,38,51,20,25.3,0.00,0.00,6.20,41,39.5,,,,
2011-04-30,538,Idarado,23,33,11,25.3,0.00,0.00,6.20,40,39.8,,,,
2011-05-01,538,Idarado,22,27,18,25.3,0.60,0.60,6.20,39,40.8,100.0,,,
2011-05-02,538,Idarado,24,41,7,25.9,0.10,0.10,0.60,49,33.7,100.0,,,
2011-05-03,538,Idarado,36,54,13,26.0,0.10,0.10,0.70,45,36.9,0.0,,,
2011-05-04,538,Idarado,39,53,26,26.1,0.00,0.00,0.80,40,41.5,,,,
2011-05-05,538,Idarado,39,58,22,26.1,0.00,0.00,0.80,39,42.1,,,,
2011-05-06,538,Idarado,44,62,29,26.1,0.00,0.00,0.80,37,43.0,,,,
2011-05-07,538,Idarado,46,62,32,26.1,0.00,0.00,0.80,35,43.4,,,,
2011-05-08,538,Idarado,47,59,31,26.1,0.00,0.00,0.80,33,44.2,,,,
2011-05-09,538,Idarado,35,46,26,26.1,0.30,0.30,0.80,31,43.9,33.0,,,
2011-05-10,538,Idarado,33,47,21,26.4,0.10,0.10,1.10,36,38.1,100.0,,,
2011-05-11,538,Idarado,31,37,29,26.5,1.20,1.20,1.20,34,40.6,100.0,,,
2011-05-12,538,Idarado,35,47,28,27.7,0.30,0.30,2.40,47,31.9,33.0,,,
2011-05-13,538,Idarado,42,60,26,28.0,0.10,0.10,2.70,41,36.8,0.0,,,
2011-05-14,538,Idarado,43,58,32,28.1,0.00,0.00,2.80,36,41.4,,,,
2011-05-15,538,Idarado,47,59,35,28.1,0.00,0.00,2.80,33,43.6,,,,
2011-05-16,538,Idarado,47,58,36,28.1,0.00,0.00,2.80,31,43.9,,,,
2011-05-17,538,Idarado,39,47,33,28.1,0.00,0.00,2.80,27,45.2,,,,
2011-05-18,538,Idarado,34,42,27,28.1,0.40,0.40,2.80,26,44.6,75.0,,,
2011-05-19,538,Idarado,31,42,26,28.5,0.60,0.60,3.20,33,36.1,83.0,,,
2011-05-20,538,Idarado,34,44,27,29.1,0.40,0.40,3.80,34,36.5,100.0,,,
2011-05-21,538,Idarado,38,51,30,29.5,0.20,0.20,4.20,36,35.6,0.0,,,
2011-05-22,538,Idarado,44,59,32,29.7,0.00,0.00,4.40,31,41.0,,,,
2011-05-23,538,Idarado,43,54,32,29.7,0.00,0.00,4.40,28,44.3,,,,
2011-05-24,538,Idarado,36,47,31,29.7,0.40,0.40,4.40,27,43.7,0.0,,,
2011-05-25,538,Idarado,42,57,32,30.1,0.10,0.10,4.80,30,39.3,0.0,,,
2011-05-26,538,Idarado,49,59,33,30.2,0.00,0.00,4.90,25,44.4,,,,
2011-05-27,538,Idarado,49,61,34,30.2,0.00,0.00,4.90,21,43.8,,,,
2011-05-28,538,Idarado,52,62,40,30.2,0.00,0.00,4.90,18,42.2,,,,
2011-05-29,538,Idarado,51,60,41,30.2,0.00,0.00,4.90,15,40.7,,,,
2011-05-30,538,Idarado,38,46,29,30.2,0.00,0.00,4.90,11,41.8,,,,
2011-05-31,538,Idarado,46,62,27,30.2,0.10,0.10,4.90,10,45.0,0.0,,,
2011-06-01,538,Idarado,55,65,40,30.3,0.00,0.00,5.00,6,50.0,,,,
2011-06-02,538,Idarado,52,63,36,30.3,0.00,0.00,0.00,3,56.7,,,,
2011-06-03,538,Idarado,46,61,32,30.3,0.00,0.00,0.00,0,,,,,
2011-06-04,538,Idarado,50,66,37,30.3,0.00,0.00,0.00,0,,,,,
2011-06-05,538,Idarado,52,68,37,30.3,0.00,0.00,0.00,0,,,,,
2011-06-06,538,Idarado,54,66,38,30.3,0.00,0.00,0.00,0,,,,,
2011-06-07,538,Idarado,50,65,36,30.3,0.00,0.00,0.00,0,,,,,
2011-06-08,538,Idarado,50,65,36,30.3,0.00,0.00,0.00,0,,,,,
2011-06-09,538,Idarado,47,63,33,30.3,0.00,0.00,0.00,0,,,,,
2011-06-10,538,Idarado,48,65,32,30.3,0.00,0.00,0.00,0,,,,,
2011-06-11,538,Idarado,50,65,37,30.3,0.00,0.00,0.00,0,,,,,
2011-06-12,538,Idarado,49,63,34,30.3,0.00,0.00,0.00,0,,,,,
2011-06-13,538,Idarado,49,62,36,30.3,0.00,0.00,0.00,0,,,,,
2011-06-14,538,Idarado,49,65,35,30.3,0.00,0.00,0.00,0,,,,,
2011-06-15,538,Idarado,52,70,36,30.3,0.00,0.00,0.00,0,,,,,
2011-06-16,538,Idarado,56,69,41,30.3,0.00,0.00,0.00,0,,,,,
2011-06-17,538,Idarado,50,60,37,30.3,0.00,0.00,0.00,0,,,,,
2011-06-18,538,Idarado,52,65,41,30.3,0.00,0.00,0.00,0,,,,,
2011-06-19,538,Idarado,48,60,36,30.3,0.00,0.00,0.00,0,,,,,
2011-06-20,538,Idarado,39,51,33,30.3,0.20,0.20,0.00,0,,0.0,,,
2011-06-21,538,Idarado,47,63,32,30.5,0.10,0.10,0.20,0,,0.0,,,
2011-06-22,538,Idarado,53,72,35,30.6,0.10,0.10,0.30,0,,0.0,,,
2011-06-23,538,Idarado,56,74,40,30.7,0.00,0.00,0.40,0,,,,,
2011-06-24,538,Idarado,56,72,40,30.7,0.00,0.00,0.40,0,,,,,
2011-06-25,538,Idarado,56,71,38,30.7,0.00,0.00,0.40,0,,,,,
2011-06-26,538,Idarado,55,71,40,30.7,0.00,0.00,0.40,0,,,,,
2011-06-27,538,Idarado,55,73,38,30.7,0.00,0.00,0.40,0,,,,,
2011-06-28,538,Idarado,59,74,43,30.7,0.00,0.00,0.40,0,,,,,
2011-06-29,538,Idarado,58,73,45,30.7,0.00,0.00,0.40,0,,,,,
2011-06-30,538,Idarado,53,65,38,30.7,0.00,0.00,0.40,0,,,,,
2011-07-01,538,Idarado,53,71,35,30.7,0.20,0.20,0.40,0,,0.0,,,
2011-07-02,538,Idarado,58,76,42,30.9,0.00,0.00,0.20,0,,,,,
2011-07-03,538,Idarado,53,69,46,30.9,0.00,0.00,0.20,0,,,,,
2011-07-04,538,Idarado,54,76,44,30.9,0.30,0.30,0.20,0,,0.0,,,
2011-07-05,538,Idarado,52,67,44,31.2,0.60,0.60,0.50,0,,0.0,,,
2011-07-06,538,Idarado,52,64,45,31.8,0.20,0.20,1.10,0,,0.0,,,
2011-07-07,538,Idarado,54,71,45,32.0,0.20,0.20,1.30,0,,0.0,,,
2011-07-08,538,Idarado,58,72,46,32.2,0.10,0.10,1.50,0,,0.0,,,
2011-07-09,538,Idarado,54,66,46,32.3,0.10,0.10,1.60,0,,0.0,,,
2011-07-10,538,Idarado,54,68,47,32.4,0.10,0.10,1.70,0,,0.0,,,
2011-07-11,538,Idarado,53,64,47,32.5,0.10,0.10,1.80,0,,0.0,,,
2011-07-12,538,Idarado,52,64,44,32.6,0.00,0.00,1.90,0,,,,,
2011-07-13,538,Idarado,55,71,42,32.6,0.00,0.00,1.90,0,,,,,
2011-07-14,538,Idarado,55,69,43,32.6,0.00,0.00,1.90,0,,,,,
2011-07-15,538,Idarado,55,71,40,32.6,0.00,0.00,1.90,0,,,,,
2011-07-16,538,Idarado,58,71,45,32.6,0.00,0.00,1.90,0,,,,,
2011-07-17,538,Idarado,62,76,52,32.6,0.00,0.00,1.90,0,,,,,
2011-07-18,538,Idarado,56,72,49,32.6,0.30,0.30,1.90,0,,0.0,,,
